Nombre;Tipo;Vocn;Iscn;Vmn;Imn;Ncs;Ncp;CoefVT;TONC
Mitsubishi PV-MJE275FB;Silicio monocristalino;38,3;9,36;31,3;8,79;60;1;;46
Mitsubishi D6M330E4AME;Silicio monocristalino;45,92;9,32;37,38;8,85;72;1;;44
Mitsubishi PV-MLE270HD2;Silicio monocristalino;38,4;9,18;31,9;8,84;120;1;;46,5
Mitsubishi PV-MLE265HD2;Silicio monocristalino;38,2;9,08;31,7;8,38;120;1;;45,7
Mitsubishi PV-MJE265FB;Silicio monocristalino;38;9,1;30,9;8,59;60;1;;46
Sunpower E20-327-COM;Silicio monocristalino;64,9;6,46;54,7;5,98;96;1;0,00176;45
Sunpower E19-310-COM;Silicio monocristalino;64,4;6,05;54,7;5,67;96;1;0,00176;45
ESP 265 6P Polycrystalline 40;Silicio policristalino;38,49;8,85;31,92;8,32;60;1;0,0034;46
ESP 260 6P Polycrystalline 40;Silicio policristalino;38,22;8,78;31,59;8,24;60;1;0,0034;46
Sunpower  X21-335-BLK;Silicio policristalino;67,9;6,23;57,3;5,85;96;1;0,0017;46
Sunpower X21-345;Silicio policristalino;68,2;6,39;57,3;6,02;96;1;0,0017;46
Mitsubishi PV-UD185MF5;Silicio policristalino;30,6;8,13;24,4;7,58;50;1;;47,5
Mitsubishi PV-UD190MF5;Silicio policristalino;30,8;8,23;24,7;7,71;50;1;;47,5
Sunelec TW-SF 100;Película fina - Silicio amorfo;138;1,22;104;0,96;;;0,0029;46
Sunelec TW-SF 95;Película fina - Silicio amorfo;138;1,17;102;0,93;;;0,0029;46
Xsunx ASI-120 ;Película fina - Silicio amorfo;106;1,5;100;1,27;82;1;;
